Cluster ID,confidence_score,id,name,slug,,,canonical_,canonical_id,canonical_slug,canonical_name
1082,,0bcc726f-6130-4d98-b550-7de1761bda43,Justus Liebig Universität Gießen,justus_liebig_universit_t_gie_en,,,,,,
1083,,685b050c-ed03-45df-b7ed-8f914b10114f,"Department of Obstetrics and Gynecolog, Randers Centralsygehusy",department_of_obstetrics_and_gynecolog_randers_centralsygehusy,,,,,,
236,0.94672501087188721,773e090f-d432-4405-870d-7cc6cc5ee44e,"Pfizer Ltd. Ramsgate Road, Sandwich, Kent, CT13 9NJ, UK",pfizer_ltd_ramsgate_road_sandwich_kent_ct13_9nj_uk,,,,36e40cab-06cf-41e0-bef3-04e11a49311d,pfizer_ltd_ramsgate_road_sandwich_kent,"Pfizer Ltd, Ramsgate Road, Sandwich, Kent"
1084,,341cc510-7158-11e6-a0cd-0242ac12000b,CIPLA,cipla,,,,,,
1085,,a3402450-cde4-4e28-8477-fee965743a62,Alfact Innovation,alfact_innovation,,,,,,
459,0.95726326107978821,fa56fa20-0cae-4922-8edb-783fd6898a45,"Janssen-Cilag International N.V., Turnhoutseweg 30, 2340  Beerse, Belgium",janssen_cilag_international_n_v_turnhoutseweg_30_2340_beerse_belgium,,,,caa9eeff-a0fe-407d-8a39-097924dbd94c,janssen_cilag_international_n_v_turnhoutseweg_30_2340_beerse_belgium,"Janssen-Cilag International N.V., Turnhoutseweg 30, 2340  Beerse, Belgium"
1086,,a7f32198-0a3e-4944-9e0a-687a9adcef24,Universitätsklinikum Essen - Zentrum für Innere Medizin - Klinik für Endokrinologie,universit_tsklinikum_essen_zentrum_f_r_innere_medizin_klinik_f_r_endokrinologie,,,,,,
1087,,fae4fcf2-9a6d-425b-ab65-1b9e6f3aa25c,Digna Biotech S.L,digna_biotech_s_l,,,,,,
900,0.955805,578a311e-a483-4d9f-906e-cd1723e08711,Chiesi Farmaceutici S.p.A,chiesi_farmaceutici_s_p_a,,,,578a311e-a483-4d9f-906e-cd1723e08711,chiesi_farmaceutici_s_p_a,Chiesi Farmaceutici S.p.A
1088,,93620f8f-105f-433c-94e0-860b7f3bf880,Belgian Society of Medical Oncology,belgian_society_of_medical_oncology,,,,,,
1089,,01d24c67-0656-4b41-b0d3-4e021e6f474d,"Nycomed Danmark ApS, International Medical Affairs",nycomed_danmark_aps_international_medical_affairs,,,,,,
1090,,a121f538-9a44-4514-b2dc-eb693b1e50d3,AXXONIS PHARMA GMBH,axxonis_pharma_gmbh,,,,,,
1091,,d9525d1e-b581-4145-8cc2-5776d2639c45,TxCell,txcell,,,,,,
1092,,d00926f9-c59d-4035-b6ce-ed0b58fa5a5a,Kitov Pharmaceuticals Ltd,kitov_pharmaceuticals_ltd,,,,,,
1093,,cb2f077b-f1f1-4532-b11a-08dc14984a21,"Delcath Systems, Inc",delcath_systems_inc,,,,,,
1094,,5b0c28bc-306c-4acd-9c6a-39bc9300ba95,"Nile Therapeutics, Inc",nile_therapeutics_inc,,,,,,
1095,,bd312691-a403-45d9-a2d7-132751eea0f5,TOPIVERT Pharma Limited,topivert_pharma_limited,,,,,,
493,0.98653608560562134,d264e962-7141-11e6-a0cd-0242ac12000b,AMNEAL PHARM,amneal_pharm,,,,d264e962-7141-11e6-a0cd-0242ac12000b,amneal_pharms,AMNEAL PHARMS
1096,,7c9b2132-b2f6-4392-88b9-69cf11dc9075,Danish University of Pharmaceutical Sciences,danish_university_of_pharmaceutical_sciences,,,,,,
1097,,206b7df2-2e79-4123-97f1-5c2590f319c3,Inventiva SAS,inventiva_sas,,,,,,
1098,,1dae84f9-4277-453d-91ad-f375a7889f4a,Dept. of Infectious diseases / virology University of Gothenburg,dept_of_infectious_diseases_virology_university_of_gothenburg,,,,,,
1099,,3ebd7cbe-6f04-4bfe-8e34-9272aa8449aa,Swiss Group for Clinical Cancer Reaserch (SAKK),swiss_group_for_clinical_cancer_reaserch_sakk,,,,,,
1100,,74c9ea7a-0b5a-474d-8016-eba5358c71cd,"Coloplast A/S, Consumer Products",coloplast_a_s_consumer_products,,,,,,
1101,,87df94e1-8c6e-4914-acc6-a2e6daadde1b,"LUMC, Department Infection Disease",lumc_department_infection_disease,,,,,,
783,0.988564,7e086a89-ce6e-4201-a20f-f377b113a14a,Friedrich Schiller University Jena,friedrich_schiller_university_jena,,,,7e086a89-ce6e-4201-a20f-f377b113a14a,friedrich_schiller_university_jena,Friedrich Schiller University Jena
925,0.96910750865936279,844eaa65-2406-4ab1-9c51-75be91cc2736,LUMC,lumc,,,,844eaa65-2406-4ab1-9c51-75be91cc2736,lumc,LUMC
1102,,43f54556-29fe-4aff-8541-4798a7b00184,"Ark Therapeutics, Ltd",ark_therapeutics_ltd,,,,,,
1103,,1be23313-1080-4009-bdb4-41cf53132903,Vectura Limited,vectura_limited,,,,,,
1104,,5b410d48-f53c-461b-a9ef-9228e7d16eb8,Rodrigo Aguilera,rodrigo_aguilera,,,,,,
947,0.98283,3d9cc66f-e29e-4146-9f7e-6baf8b6a7b2e,Hospital Clínic,hospital_cl_nic,,,,3d9cc66f-e29e-4146-9f7e-6baf8b6a7b2e,hospital_cl_nic,Hospital Clínic
1105,,5e7e8fa3-07af-4c0e-bde5-05bed4ed177d,AZIENDA OSPEDALIERA UNIVERSITARIA SAN MARTINO GENOVA,azienda_ospedaliera_universitaria_san_martino_genova,,,,,,
1106,,da34504e-153b-4cd3-8ed6-1e24ecb96abd,Medizinische Universität Innsbruck / Allg. u. chirug. Intensivmedizin,medizinische_universit_t_innsbruck_allg_u_chirug_intensivmedizin,,,,,,
1107,,b5919966-d90d-42f3-ba77-7b50b2f3f8bf,SFJ Pharma Ltd. II,sfj_pharma_ltd_ii,,,,,,
1108,,085fad23-7eb6-4a25-bd05-9518cd77a48e,ALEXION PHARMACEUTICALS INCORPORATED,alexion_pharmaceuticals_incorporated,,,,,,
1109,,102808f8-9c78-4560-9fc5-8a62863aa81b,SAKK Swiss Group for Clinical Cancer Research,sakk_swiss_group_for_clinical_cancer_research,,,,,,
1110,,66449089-8b55-4739-ae2c-e5dafe79ec6d,"Protherics Salt Lake City, Inc",protherics_salt_lake_city_inc,,,,,,
1111,,eb3df69f-4546-4938-b7a3-64b5ce006a5a,Valletta Health BV,valletta_health_bv,,,,,,
1112,,dd6a0d1c-faf9-40e4-b5b6-1359f7412edc,Jorge Alonso Zafra,jorge_alonso_zafra,,,,,,
1113,,e38a8829-3b07-4403-91c8-57c61c331d1e,Bombastus-Werke AG,bombastus_werke_ag,,,,,,
1114,,1de2254b-38b4-4ec4-bdcd-0cec65691870,Asociación Instituto Biodonostia,asociaci_n_instituto_biodonostia,,,,,,
1115,,6b0b04dc-f900-4b57-9764-eb8a7ec5acf6,South Manchester University Hospital NHS Trust,south_manchester_university_hospital_nhs_trust,,,,,,
1116,,e78cf862-14ba-4a09-a057-f1e296fa7a70,University of New South Wales,university_of_new_south_wales,,,,,,
1117,,c532e84d-37ae-47e1-8d59-1fe9b7b85f84,Uniklinikum Tuebingen,uniklinikum_tuebingen,,,,,,
1118,,48fc7a5a-a19f-4635-bc54-53ff1b721914,"Department of Anesthesiology and Operative Intensive Care Medicine, Charité (CBF)",department_of_anesthesiology_and_operative_intensive_care_medicine_charit_cbf,,,,,,
1119,,c015bcd2-0131-47b0-8c25-da262e82688f,Dr. Martin Pinsger & Univ.-Prof. Dr. Rupert Prokesch,dr_martin_pinsger_univ_prof_dr_rupert_prokesch,,,,,,
1120,,945770d2-8bd0-11e6-a449-0242ac12000b,Flamel Ireland Limited,flamel_ireland_limited,,,,,,
1121,,8b724bde-0581-449c-a20a-a59a7e9ed470,Stanmore Clinical Research Facility Ltd,stanmore_clinical_research_facility_ltd,,,,,,
677,0.981509,22accd65-c14d-4d5b-acab-c1bb9180b01d,"Christian Geisler, Righospitalet, dept. Haematology 4042",christian_geisler_righospitalet_dept_haematology_4042,,,,22accd65-c14d-4d5b-acab-c1bb9180b01d,christian_geisler_righospitalet_dept_haematology_4042,"Christian Geisler, Righospitalet, dept. Haematology 4042"
1122,,d41fa9dd-13f0-48aa-9efd-efc87b4186f0,Cruz Bartolome Moreno,cruz_bartolome_moreno,,,,,,
1123,,f185757e-5452-4936-ac54-6a6b96c6a00a,Avexa Limited,avexa_limited,,,,,,
1124,,9f2c6bce-7164-11e6-a0cd-0242ac12000b,IDENTI PHARMS INC,identi_pharms_inc,,,,,,
393,0.941004,b8f2d360-526a-43ca-87db-757c93078a81,Pantec Biosolution AG,pantec_biosolution_ag,,,,6cd8a498-2fe7-40c6-b305-fa69e84aa23d,pantec_biosolutions_ag,Pantec Biosolutions AG
